TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,cumAlphaSpent,efficacyZLower,cumAlphaSpentUpper,cumAlphaSpentLower,efficacyPValue,futilityCP,efficacyZ,futilityZ,futilityPValue,efficacyZUpper,futilityZUpper,futilityZLower
TC_21,ITER_01,0,30,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,2.445,,
TC_21,ITER_01,1,60,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,2.555,,
TC_21,ITER_01,2,75,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,
TC_21,ITER_02,0,N/A,N/A,N/A,0.02666,0.019564,N/A,N/A,,N/A,N/A,,,
TC_21,ITER_02,1,N/A,N/A,N/A,0.028885,N/A,N/A,N/A,,N/A,N/A,,,
TC_21,ITER_02,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,
TC_21,ITER_04,0,N/A,,,,,,,,1.4445,,,,
TC_21,ITER_04,1,N/A,,,,,,,,,,,,
TC_21,ITER_05,0,N/A,N/A,N/A,N/A,N/A,N/A,0.4458,,N/A,N/A,,,
TC_21,ITER_06,0,66,N/A,N/A,N/A,N/A,N/A,N/A,1.9256,-0.55856,N/A,,,
TC_21,ITER_06,1,82,N/A,N/A,N/A,N/A,N/A,N/A,1.7755,0.78564,N/A,,,
TC_21,ITER_07,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,0.9188,,,
