Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description
1,10,Simulate,DesignPage,click,btn_Simulate,,,,,,10000,FALSE,0,never,,click Simulate
2,20,ConfigureDesign,Page,fill,txt_ResultName,DOM_Sim_${iterationId},,,,,10000,FALSE,0,never,,fill Result Name
4,30,ConfigureDesign,Page,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,Confirm credit dialog to enter the sim setup (NOT a grid cell - essential)
5,40,ConfigureDesign,Page,click,txt_left_Panel_designs,,,,,,10000,FALSE,0,never,,Navigate to the Design tab in the sim (leftPanel.designs - essential nav)
4.2,42,ConfigureDesign,Page,click,txt_left_Panel_response,,,,,,10000,FALSE,0,never,,GADAR fix: MOUNT the Response tab into the model BEFORE header/boundary edits (clean state = no Unsaved-Changes dialog) so Recalculate carries the effect params
4.4,44,ConfigureDesign,Page,sleep,,1800,,,,,5000,FALSE,0,never,,Let the Response inputs bind into the model
4.6,46,ConfigureDesign,Page,click,txt_left_Panel_designs,,,,,,10000,FALSE,0,never,,Return to the Design tab to enter the header/boundary (Response now mounted)
4.8,48,ConfigureDesign,Page,sleep,,1000,,,,,5000,FALSE,0,never,,Design tab ready
5,50,ConfigureDesign,Page,fill,txt_Sample_Size_n,${data.simulation.sampleSize},,,,,10000,FALSE,0,never,,fill Sample Size
6,60,ConfigureDesign,Page,select,ddl_Randomization_Method,${data.simulation.randomizationMethodSelect},,,,,10000,FALSE,0,always,,Select Randomization Method. Native <select> - select matches by visible label first
7,70,ConfigureDesign,Page,select,ddl_randomization_Method_Select,${data.simulation.randomizationMethodSelect},,,,,10000,FALSE,0,always,,Select randomizationMethodSelect. Native <select> - select matches by visible label first
8,80,ConfigureDesign,Page,fill,txt_allocation_Ratio,${data.simulation.allocationRatio},,,,,10000,FALSE,0,never,,fill allocationRatio
9,90,ConfigureDesign,Page,select,ddl_Test_Statistic,${data.simulation.testStatistic},,,,,10000,FALSE,0,always,,Select Test Statistic. Native <select> - select matches by visible label first
10,100,ConfigureDesign,Page,fill,txt_Standard_Deviation,${data.simulation.standardDeviation},,,,,10000,FALSE,0,never,,fill Standard Deviation
11,110,ConfigureDesign,Page,select,ddl_Variance,${data.simulation.variance},,,,,10000,FALSE,0,always,,Select Variance. Native <select> - select matches by visible label first
12,120,ConfigureDesign,Page,fill,txt_non_Inf_margin,${data.simulation.nonInf_margin},,,,,10000,FALSE,0,never,,fill nonInf margin
13,130,ConfigureDesign,Page,fill,txt_critical_Point,${data.simulation.criticalPoint},,,,,10000,FALSE,0,never,,fill criticalPoint
14,140,ConfigureDesign,Page,fill,txt_supsup_margin,${data.simulation.supsup_margin},,,,,10000,FALSE,0,never,,fill supsup margin
