TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Accrual and Study Duration,Accrual Duration (Week),Parameter,Accrual Duration (Week),20260819T111525_bd877a,,
Accrual and Study Duration,Accrual Duration (Week),Value,24,20260819T111525_bd877a,,
Accrual and Study Duration,Study Duration (Week),Parameter,Study Duration (Week),20260819T111525_bd877a,,
Accrual and Study Duration,Study Duration (Week),Value,35.88,20260819T111525_bd877a,,
Critical Points,Lower Critical Point,Parameter,Lower Critical Point,20260819T111525_bd877a,,
Critical Points,Lower Critical Point,Value,-0.303,20260819T111525_bd877a,,
Critical Points,Upper Critical Point,Parameter,Upper Critical Point,20260819T111525_bd877a,,
Critical Points,Upper Critical Point,Value,0.303,20260819T111525_bd877a,,
Design Summary #1,Attained Type 1 Error (α),Parameter,Attained Type 1 Error (α),20260819T111525_bd877a,,
Design Summary #1,Attained Type 1 Error (α),Value,0.762,20260819T111525_bd877a,,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260819T111525_bd877a,,
Design Summary #1,Hypothesis,Value,Superiority,20260819T111525_bd877a,,
Design Summary #1,Power,Parameter,Power,20260819T111525_bd877a,,
Design Summary #1,Power,Value,0.866,20260819T111525_bd877a,,
Design Summary #1,Probability of Success,Parameter,Probability of Success,20260819T111525_bd877a,,
Design Summary #1,Probability of Success,Value,0.963,20260819T111525_bd877a,,
Design Summary #1,Test Name,Parameter,Test Name,20260819T111525_bd877a,,
Design Summary #1,Test Name,Value,Ratio of Proportions (Parallel Design),20260819T111525_bd877a,,
Design Summary #1,Test Type,Parameter,Test Type,20260819T111525_bd877a,,
Design Summary #1,Test Type,Value,2-Sided,20260819T111525_bd877a,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260819T111525_bd877a,,
Design Summary #1,Type 1 Error (α),Value,NA,20260819T111525_bd877a,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260819T111525_bd877a,,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.2,20260819T111525_bd877a,,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260819T111525_bd877a,,
Design Summary #2,Follow-up Time (Week),Value,11.88,20260819T111525_bd877a,,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260819T111525_bd877a,,
Design Summary #2,Probability of Dropout,Value,0.1685,20260819T111525_bd877a,,
Design Summary #2,Proportion Under Control (πc),Parameter,Proportion Under Control (πc),20260819T111525_bd877a,,
Design Summary #2,Proportion Under Control (πc),Value,0.5,20260819T111525_bd877a,,
Design Summary #2,Proportion Under Treatment (πt),Parameter,Proportion Under Treatment (πt),20260819T111525_bd877a,,
Design Summary #2,Proportion Under Treatment (πt),Value,0.555,20260819T111525_bd877a,,
Design Summary #2,Under H0,Parameter,Under H0,20260819T111525_bd877a,,
Design Summary #2,Under H0,Value,1,20260819T111525_bd877a,,
Design Summary #2,Under H1,Parameter,Under H1,20260819T111525_bd877a,,
Design Summary #2,Under H1,Value,1.11,20260819T111525_bd877a,,
Design Summary #2,Variance of Standardized Test Statistic,Parameter,Variance of Standardized Test Statistic,20260819T111525_bd877a,,
Design Summary #2,Variance of Standardized Test Statistic,Value,Unpooled Estimate,20260819T111525_bd877a,,
Design Summary #2,ρ = πt / πc,Parameter,ρ = πt / πc,20260819T111525_bd877a,,
Design Summary #2,ρ = πt / πc,Value,,20260819T111525_bd877a,,
Design Summary #3,Enrollment Rate (per Week),Parameter,Enrollment Rate (per Week),20260819T111525_bd877a,,
Design Summary #3,Enrollment Rate (per Week),Value,20,20260819T111525_bd877a,,
Design Summary #4,Distribution,Parameter,Distribution,20260819T111525_bd877a,,
Design Summary #4,Distribution,Value,Uniform,20260819T111525_bd877a,,
Design Summary #4,Max. πc,Parameter,Max. πc,20260819T111525_bd877a,,
Design Summary #4,Max. πc,Value,0.888,20260819T111525_bd877a,,
Design Summary #4,Max. πt,Parameter,Max. πt,20260819T111525_bd877a,,
Design Summary #4,Max. πt,Value,0.88899,20260819T111525_bd877a,,
Design Summary #4,Min. πc,Parameter,Min. πc,20260819T111525_bd877a,,
Design Summary #4,Min. πc,Value,0.14456,20260819T111525_bd877a,,
Design Summary #4,Min. πt,Parameter,Min. πt,20260819T111525_bd877a,,
Design Summary #4,Min. πt,Value,0.2265,20260819T111525_bd877a,,
Design Summary #4,Prior Distribution for,Parameter,Prior Distribution for,20260819T111525_bd877a,,
Design Summary #4,Prior Distribution for,Value,πc and πt,20260819T111525_bd877a,,
Plan #1,Control Arm,Parameter,Control Arm,20260819T111525_bd877a,,
Plan #1,Control Arm,Value,Control,20260819T111525_bd877a,,
Plan #1,Phase,Parameter,Phase,20260819T111525_bd877a,,
Plan #1,Phase,Value,3,20260819T111525_bd877a,,
Plan #1,Study Objective,Parameter,Study Objective,20260819T111525_bd877a,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260819T111525_bd877a,,
Plan #1,Target Population,Parameter,Target Population,20260819T111525_bd877a,,
Plan #1,Target Population,Value,Adult,20260819T111525_bd877a,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260819T111525_bd877a,,
Plan #1,Treatment Arm,Value,EXP,20260819T111525_bd877a,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260819T111525_bd877a,,
Plan #2,Endpoint Name,Value,EPBin,20260819T111525_bd877a,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260819T111525_bd877a,,
Plan #2,Endpoint Type,Value,Binary,20260819T111525_bd877a,,
Plan #2,Priority,Parameter,Priority,20260819T111525_bd877a,,
Plan #2,Priority,Value,Primary,20260819T111525_bd877a,,
Sample Size Information,Completers (s),Parameter,Completers (s),20260819T111525_bd877a,,
Sample Size Information,Completers (s),Value,399,20260819T111525_bd877a,,
