TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
"Average Sample Size, Dropouts and Analysis Times",%,Analysis #,%,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Analysis Time (Day),—,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Completers (s),—,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Dropouts (d),—,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Pipeline (n-s-d),—,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",%,Average Sample Size (n),—,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",%,Efficacy (%),100,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",%,Futility (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Analysis #,1,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Analysis Time (Day),32.652,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Completers (s),222,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Dropouts (d),11.5,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Pipeline (n-s-d),0.73,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Average Sample Size (n),234.23,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Efficacy (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",1,Futility (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Analysis #,2,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Analysis Time (Day),60.352,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Completers (s),407,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Dropouts (d),20.89,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Pipeline (n-s-d),0.75,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Average Sample Size (n),428.64,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Efficacy (%),100,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",2,Futility (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Analysis #,3,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Analysis Time (Day),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Completers (s),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Dropouts (d),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Pipeline (n-s-d),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Average Sample Size (n),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Efficacy (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",3,Futility (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Analysis #,4,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Average Analysis Time (Day),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Average Completers (s),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Average Dropouts (d),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Average Pipeline (n-s-d),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Average Sample Size (n),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Efficacy (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",4,Futility (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Analysis #,5,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Average Analysis Time (Day),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Average Completers (s),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Average Dropouts (d),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Average Pipeline (n-s-d),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Average Sample Size (n),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Efficacy (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",5,Futility (%),0,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Analysis #,Average,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Analysis Time (Day),60.352,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Completers (s),407,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Dropouts (d),20.89,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Pipeline (n-s-d),0.75,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Average Sample Size (n),428.64,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Efficacy (%),—,20260819T115459_be5590,,
"Average Sample Size, Dropouts and Analysis Times",Average,Futility (%),—,20260819T115459_be5590,,
Enrollment #1,1,Enrollment Rate (per Day),10.63,20260819T115459_be5590,,
Enrollment #1,1,Period,1,20260819T115459_be5590,,
Enrollment #1,1,Starting At Time (Day),0,20260819T115459_be5590,,
Enrollment #1,2,Enrollment Rate (per Day),7,20260819T115459_be5590,,
Enrollment #1,2,Period,2,20260819T115459_be5590,,
