TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Critical Points,Lower Critical Point,Parameter,Lower Critical Point,20260803T182157_8a304f,,
Critical Points,Lower Critical Point,Value,-1.843,20260803T182157_8a304f,,
Critical Points,Upper Critical Point,Parameter,Upper Critical Point,20260803T182157_8a304f,,
Critical Points,Upper Critical Point,Value,1.843,20260803T182157_8a304f,,
Design Summary #1,Power,Parameter,Power,20260803T182157_8a304f,,
Design Summary #1,Power,Value,0.926,20260803T182157_8a304f,,
Design Summary #1,Test Name,Parameter,Test Name,20260803T182157_8a304f,,
Design Summary #1,Test Name,Value,Ratio of Poisson Rates (Parallel Design),20260803T182157_8a304f,,
Design Summary #1,Test Type,Parameter,Test Type,20260803T182157_8a304f,,
Design Summary #1,Test Type,Value,2-Sided,20260803T182157_8a304f,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260803T182157_8a304f,,
Design Summary #1,Type 1 Error (α),Value,0.0654,20260803T182157_8a304f,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260803T182157_8a304f,,
Design Summary #2,Allocation Ratio (nt/nc),Value,2.2,20260803T182157_8a304f,,
Design Summary #2,Follow-Up Control (Dc) (Week),Parameter,Follow-Up Control (Dc) (Week),20260803T182157_8a304f,,
Design Summary #2,Follow-Up Control (Dc) (Week),Value,2.88,20260803T182157_8a304f,,
Design Summary #2,Follow-Up Treatment (Dt) (Week),Parameter,Follow-Up Treatment (Dt) (Week),20260803T182157_8a304f,,
Design Summary #2,Follow-Up Treatment (Dt) (Week),Value,2,20260803T182157_8a304f,,
Design Summary #2,Rate Under Control (λc),Parameter,Rate Under Control (λc),20260803T182157_8a304f,,
Design Summary #2,Rate Under Control (λc),Value,0.188,20260803T182157_8a304f,,
Design Summary #2,Rate Under Treatment (λt),Parameter,Rate Under Treatment (λt),20260803T182157_8a304f,,
Design Summary #2,Rate Under Treatment (λt),Value,0.54144,20260803T182157_8a304f,,
Design Summary #2,Under H0,Parameter,Under H0,20260803T182157_8a304f,,
Design Summary #2,Under H0,Value,1,20260803T182157_8a304f,,
Design Summary #2,Under H1,Parameter,Under H1,20260803T182157_8a304f,,
Design Summary #2,Under H1,Value,2.88,20260803T182157_8a304f,,
Design Summary #2,ρ1 = λt / λc,Parameter,ρ1 = λt / λc,20260803T182157_8a304f,,
Design Summary #2,ρ1 = λt / λc,Value,,20260803T182157_8a304f,,
Plan #1,Control Arm,Parameter,Control Arm,20260803T182157_8a304f,,
Plan #1,Control Arm,Value,Crt Arm,20260803T182157_8a304f,,
Plan #1,Phase,Parameter,Phase,20260803T182157_8a304f,,
Plan #1,Phase,Value,3,20260803T182157_8a304f,,
Plan #1,Study Objective,Parameter,Study Objective,20260803T182157_8a304f,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260803T182157_8a304f,,
Plan #1,Target Population,Parameter,Target Population,20260803T182157_8a304f,,
Plan #1,Target Population,Value,Adult,20260803T182157_8a304f,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260803T182157_8a304f,,
Plan #1,Treatment Arm,Value,EXP,20260803T182157_8a304f,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260803T182157_8a304f,,
Plan #2,Endpoint Name,Value,EP1,20260803T182157_8a304f,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260803T182157_8a304f,,
Plan #2,Endpoint Type,Value,Count,20260803T182157_8a304f,,
Plan #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260803T182157_8a304f,,
Plan #2,Follow-up Time (Week),Value,4.5,20260803T182157_8a304f,,
Plan #2,Priority,Parameter,Priority,20260803T182157_8a304f,,
Plan #2,Priority,Value,Primary,20260803T182157_8a304f,,
Sample Size Information,Control (n_c),Parameter,Control (n_c),20260803T182157_8a304f,,
Sample Size Information,Control (n_c),Value,22,20260803T182157_8a304f,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260803T182157_8a304f,,
Sample Size Information,Sample Size (n),Value,69,20260803T182157_8a304f,,
Sample Size Information,Treatment (n_t),Parameter,Treatment (n_t),20260803T182157_8a304f,,
Sample Size Information,Treatment (n_t),Value,47,20260803T182157_8a304f,,
Summary,Narrative,Text,"A total sample size of 69 is required in a study to achieve 0.922 power at 0.0654 level of significance when response rates for Control group and Treatment group are 0.188 and 0.54144 respectively. Here, the subjects from the two groups are followed up to 2.88 and 2 Weeks.",20260803T182157_8a304f,,
