TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Dose-wise Summary,Dose 1,Dose,Dose 1,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 1,Dose Level (mg),5,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 1,Mean,0.089,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 1,Mean,0.024,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 1,Selection Probability (%),0.813,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 1,Standard Deviation,0.699,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 1,Standard Deviation,0.269,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 1,True Probability of Toxicity,0.119,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,Dose,Dose 10,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,Dose Level (mg),14,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,Mean,0.797,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,Mean,0.171,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,Selection Probability (%),9.756,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,Standard Deviation,1.975,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,Standard Deviation,0.521,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 10,True Probability of Toxicity,0.218,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,Dose,Dose 2,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,Dose Level (mg),6,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,Mean,0.187,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,Mean,0.041,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,Selection Probability (%),1.626,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,Standard Deviation,1.023,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,Standard Deviation,0.267,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 2,True Probability of Toxicity,0.131,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,Dose,Dose 3,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,Dose Level (mg),7,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,Mean,0.39,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,Mean,0.081,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,Selection Probability (%),3.252,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,Standard Deviation,1.48,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,Standard Deviation,0.374,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 3,True Probability of Toxicity,0.142,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 4,Dose,Dose 4,20260812T040904_2b15f5,,
Dose-wise Summary,Dose 4,Dose Level (mg),8,20260812T040904_2b15f5,,
