TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Design Summary #1,Attained Type 1 Error (α),Test,Attained Type 1 Error (α),20260723T002644_5f1412,
Design Summary #1,Attained Type 1 Error (α),value,0.019,20260723T002644_5f1412,
Design Summary #1,Design Type,Test,Design Type,20260723T002644_5f1412,
Design Summary #1,Design Type,value,Optimal,20260723T002644_5f1412,
Design Summary #1,Power,Test,Power,20260723T002644_5f1412,
Design Summary #1,Power,value,0.885,20260723T002644_5f1412,
Design Summary #1,Test Name,Test,Test Name,20260723T002644_5f1412,
Design Summary #1,Test Name,value,Simon's Two Stage (One Arm Design),20260723T002644_5f1412,
Design Summary #1,Test Type,Test,Test Type,20260723T002644_5f1412,
Design Summary #1,Test Type,value,1-Sided Exact,20260723T002644_5f1412,
Design Summary #1,Type 1 Error (α),Test,Type 1 Error (α),20260723T002644_5f1412,
Design Summary #1,Type 1 Error (α),value,0.025,20260723T002644_5f1412,
Design Summary #2,Proportion Response under Alternative (π1),Model,Proportion Response under Alternative (π1),20260723T002644_5f1412,
Design Summary #2,Proportion Response under Alternative (π1),value,0.45,20260723T002644_5f1412,
Design Summary #2,Proportion Response under Null (π0),Model,Proportion Response under Null (π0),20260723T002644_5f1412,
Design Summary #2,Proportion Response under Null (π0),value,0.15,20260723T002644_5f1412,
Plan #1,Phase,Parameter,Phase,20260723T002644_5f1412,
Plan #1,Phase,Value,3,20260723T002644_5f1412,
Plan #1,Study Objective,Parameter,Study Objective,20260723T002644_5f1412,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260723T002644_5f1412,
Plan #1,Target Population,Parameter,Target Population,20260723T002644_5f1412,
Plan #1,Target Population,Value,Full Population,20260723T002644_5f1412,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260723T002644_5f1412,
Plan #1,Treatment Arm,Value,Experimental,20260723T002644_5f1412,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260723T002644_5f1412,
Plan #2,Endpoint Name,Value,Endpoint 1,20260723T002644_5f1412,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260723T002644_5f1412,
Plan #2,Endpoint Type,Value,Binary,20260723T002644_5f1412,
Plan #2,Priority,Parameter,Priority,20260723T002644_5f1412,
Plan #2,Priority,Value,Primary,20260723T002644_5f1412,
Power and probability,Admissible,Attained Power,0.894,20260723T002644_5f1412,
Power and probability,Admissible,Attained Power,0.893,20260723T002644_5f1412,
Power and probability,Admissible,Attained Type 1 Error,0.018,20260723T002644_5f1412,
Power and probability,Admissible,Attained Type 1 Error,0.022,20260723T002644_5f1412,
Power and probability,Admissible,Design Type,Admissible,20260723T002644_5f1412,
Power and probability,Admissible,Design Type,Admissible,20260723T002644_5f1412,
Power and probability,Admissible,Probability of Early Stopping,0.599,20260723T002644_5f1412,
Power and probability,Admissible,Probability of Early Stopping,0.657,20260723T002644_5f1412,
Power and probability,Admissible,Total Sample Size (n),24,20260723T002644_5f1412,
Power and probability,Admissible,Total Sample Size (n),25,20260723T002644_5f1412,
Power and probability,Minimax,Attained Power,0.881,20260723T002644_5f1412,
Power and probability,Minimax,Attained Type 1 Error,0.015,20260723T002644_5f1412,
Power and probability,Minimax,Design Type,Minimax,20260723T002644_5f1412,
Power and probability,Minimax,Probability of Early Stopping,0.492,20260723T002644_5f1412,
Power and probability,Minimax,Total Sample Size (n),23,20260723T002644_5f1412,
Power and probability,Optimal,Attained Power,0.885,20260723T002644_5f1412,
Power and probability,Optimal,Attained Type 1 Error,0.019,20260723T002644_5f1412,
Power and probability,Optimal,Design Type,Optimal,20260723T002644_5f1412,
Power and probability,Optimal,Probability of Early Stopping,0.82,20260723T002644_5f1412,
Power and probability,Optimal,Total Sample Size (n),30,20260723T002644_5f1412,
Sample Size,Admissible,Analysis1 (r_1),1,20260723T002644_5f1412,
Sample Size,Admissible,Analysis1 (r_1),1,20260723T002644_5f1412,
Sample Size,Admissible,Analysis1 Sample Size (n_1),9,20260723T002644_5f1412,
Sample Size,Admissible,Analysis1 Sample Size (n_1),8,20260723T002644_5f1412,
Sample Size,Admissible,Analysis2 (r_2),7,20260723T002644_5f1412,
Sample Size,Admissible,Analysis2 (r_2),7,20260723T002644_5f1412,
Sample Size,Admissible,Design Type,Admissible,20260723T002644_5f1412,
Sample Size,Admissible,Design Type,Admissible,20260723T002644_5f1412,
Sample Size,Admissible,Expected Sample Size H0 (EN0),15.008,20260723T002644_5f1412,
Sample Size,Admissible,Expected Sample Size H0 (EN0),13.828,20260723T002644_5f1412,
Sample Size,Admissible,Total Sample Size (n),24,20260723T002644_5f1412,
Sample Size,Admissible,Total Sample Size (n),25,20260723T002644_5f1412,
Sample Size,Minimax,Analysis1 (r_1),1,20260723T002644_5f1412,
Sample Size,Minimax,Analysis1 Sample Size (n_1),11,20260723T002644_5f1412,
Sample Size,Minimax,Analysis2 (r_2),7,20260723T002644_5f1412,
Sample Size,Minimax,Design Type,Minimax,20260723T002644_5f1412,
Sample Size,Minimax,Expected Sample Size H0 (EN0),17.094,20260723T002644_5f1412,
Sample Size,Minimax,Total Sample Size (n),23,20260723T002644_5f1412,
Sample Size,Optimal,Analysis1 (r_1),2,20260723T002644_5f1412,
Sample Size,Optimal,Analysis1 Sample Size (n_1),10,20260723T002644_5f1412,
Sample Size,Optimal,Analysis2 (r_2),8,20260723T002644_5f1412,
Sample Size,Optimal,Design Type,Optimal,20260723T002644_5f1412,
Sample Size,Optimal,Expected Sample Size H0 (EN0),13.596,20260723T002644_5f1412,
Sample Size,Optimal,Total Sample Size (n),30,20260723T002644_5f1412,
Sample Size Information,Expected H0 (EN0),Parameter,Expected H0 (EN0),20260723T002644_5f1412,
Sample Size Information,Expected H0 (EN0),Value,13.596,20260723T002644_5f1412,
Sample Size Information,Maximum,Parameter,Maximum,20260723T002644_5f1412,
Sample Size Information,Maximum,Value,30,20260723T002644_5f1412,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260723T002644_5f1412,
Sample Size Information,Sample Size (n),Value,,20260723T002644_5f1412,
Stopping Boundaries,1,Analysis #,1,20260723T002644_5f1412,
Stopping Boundaries,1,Futility,0.82,20260723T002644_5f1412,
Stopping Boundaries,1,Futility Number of Responses,2,20260723T002644_5f1412,
Stopping Boundaries,1,Sample Size (n),10,20260723T002644_5f1412,
Stopping Boundaries,2,Analysis #,2,20260723T002644_5f1412,
Stopping Boundaries,2,Futility,—,20260723T002644_5f1412,
Stopping Boundaries,2,Futility Number of Responses,8,20260723T002644_5f1412,
Stopping Boundaries,2,Sample Size (n),30,20260723T002644_5f1412,
Weights,Admissible,Design Type,Admissible,20260723T002644_5f1412,
Weights,Admissible,Design Type,Admissible,20260723T002644_5f1412,
Weights,Admissible,Lower,0.541,20260723T002644_5f1412,
Weights,Admissible,Lower,0.044,20260723T002644_5f1412,
Weights,Admissible,Total Sample Size (n),24,20260723T002644_5f1412,
Weights,Admissible,Total Sample Size (n),25,20260723T002644_5f1412,
Weights,Admissible,Upper,0.676,20260723T002644_5f1412,
Weights,Admissible,Upper,0.541,20260723T002644_5f1412,
Weights,Minimax,Design Type,Minimax,20260723T002644_5f1412,
Weights,Minimax,Lower,0.676,20260723T002644_5f1412,
Weights,Minimax,Total Sample Size (n),23,20260723T002644_5f1412,
Weights,Minimax,Upper,1,20260723T002644_5f1412,
Weights,Optimal,Design Type,Optimal,20260723T002644_5f1412,
Weights,Optimal,Lower,0,20260723T002644_5f1412,
Weights,Optimal,Total Sample Size (n),30,20260723T002644_5f1412,
Weights,Optimal,Upper,0.044,20260723T002644_5f1412,
