TC_ID,IterationID,hypothesis,Computed Parameter,sampleSize,power,testtype,type1Error,upperType1Error,lowerType1Error,meanResponseUnderNull,meanResponseUnderAlt,testStatistic,standardDeviation,followUpTime,probabilityOfDropout,includeAssurance,priorDistributionFor,distributionMethod,assuranceInputMethod,uniformMin,uniformMax,eMu,sdMu,percMu1stOperator,percMu1stPercentileVal,percMu1stPercentileProb,percMu2ndOperator,percMu2ndPercentileVal,percMu2ndPercentileProb,effBoundaryFam,effSpendFunc,effParam,effParamRho,effParamGamma,fix,shapeParamDelta,shapeParamDeltaOne,asymEffBoundaryFam,upperSpendFunc,upperParam,upperParamRho,upperParamGamma,lowerSpendFunc,lowerParam,lowerParamRho,lowerParamGamma,upperFix,futBoundaryFam,futSpendFunc,futParam,futBoundary,futParamRho,futParamGamma,computeCP,shapeParamDeltaTwo,boundaryScale,IncludeEnrollment,enrollmentTable.0.avgSubjectsEnrolled,ResultName
TC_24,ITER_01,Superiority,Power,222,Computed,2-Sided,0.0562,,,0.2156,0.3256,Z,1.22,3.256,0.04996,TRUE,N/A,Normal,2,,,,,1,-1.8889,0.111,2,1.89658,0.115,Spending Functions,Lan-DeMets,2,,,,,,,,,,,,,,,,Spending Functions,Rho Family,,2,4.55,,,,2,check,10.5,Result - Set01
TC_24,ITER_02,Superiority,Sample Size,Computed,0.9115,1-Sided,0.06859,,,0.1189,0.3856,Z,1.321,2.25,0.06856,TRUE,N/A,Normal,1,,,0.321,1.22,,,,,,,Spending Functions,Rho Family,,3.658,,,,,,,,,,,,,,,p-value,,,,,,,,6,check,9.856965,Result - Set02
TC_24,ITER_03,Superiority,Type 1 Error,568,0.8889,1-Sided,Computed,,,0.321,0.4566,t,2.256,1.88956,0.088856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,15.55,Result - Set03
TC_24,ITER_04,Superiority,Sample Size,Computed,0.9088,2-Sided,0.07558,,,0.388888,0.438865,Z,1,1,0.033,TRUE,N/A,Uniform,,1.56,2.56,,,,,,,,,Spending Functions,Gamma Family,,,-5.658,,,,,,,,,,,,,,Spending Functions,Interpolated,,1,,,,,3,check,16.666185,Result - Set04
TC_24,ITER_05,Superiority,Power,408,Computed,1-Sided,0.08885,,,0.29655,0.46652,Z,2.321,1.652,0.1102,TRUE,N/A,Normal,1,,,0.4856,1.66859,,,,,,,Spending Functions,Interpolated,,,,,,,,,,,,,,,,,Conditional Power,,,,,,2,,5,check,10.8231,Result - Set05
TC_24,ITER_06,Superiority,Sample Size,Computed,0.79635,1-Sided,0.06956,,,0.189632,0.333852,Z,3.1233,4.11235,0.7965,FALSE,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,,1,,,,,,,,,,,,,Spending Functions,Gamma Family,,,,-4.9658,,,4,check,6.9658,Result - Set06
TC_24,ITER_07,Superiority,Power,398,Computed,1-Sided,0.11325,,,0.5565,0.68564,Z,3.6458,1.888,0.13256,FALSE,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,,2,,,,,,,,,,,,,5,,,,,,,,,check,20.2568,Result - Set07
TC_24,ITER_08,Superiority,Sample Size,Computed,0.863256,2-Sided,0.03568,,,0.2768,1.11325,Z,1.852,2.963,0.065,TRUE,N/A,Uniform,,1.885,3.6582,,,,,,,,,Wang-Tsiatis,,,,,,N/A,0.256,,,,,,,,,,,Pampallona-Tsiatis,,,,,,,0.3321,1,check,22,Result - Set08
TC_24,ITER_09,Superiority,Power,666,Computed,1-Sided,0.16856,,,0.49856,0.77685,Z,1.33,1.33,0.135,TRUE,,Normal,2,,,,,1,-1.93256,0.123,2,1.89325,0.2231,Wang-Tsiatis,,,,,,0.321,,,,,,,,,,,,,,,,,,,,2,check,21.25,Result - Set09
TC_24,ITER_10,Superiority,Sample Size,Computed,0.87,2-Sided (Asymmetric),,0.0333,0.04321,0.22,0.455,,2.678,0.345,0.09876,FALSE,,,,,,,,,,,,,,,,,,,,,,Spending Functions,Gamma Family,,,-5.55,Rho Family,,4.444,,,,,,,,,,,1,check,10,Result - Set10
TC_24,ITER_11,Superiority,Power,600,Computed,2-Sided (Asymmetric),,0.0546,0.04321,0.22,0.455,,2.678,0,,TRUE,N/A,Normal,1,,,0.44,1.55,,,,,,,,,,,,,,,Haybittle Peto (p-value),,,,-5.55,Rho Family,,4.444,,2,,,,,,,,,,uncheck,,Result - Set11
TC_24,ITER_12,Superiority,Type 1 Error,456,0.92233,2-Sided,Computed,,,0.398765,0.67548,t,1.55,1.222,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,check,25.98765,Result - Set12
