TC_ID,IterationID,PeriodIndex,analysisSpacingInfo,efficacyCheck,futilityCheck,cumAlphaSpent,efficacyBoundaryUpper,efficacyBoundaryLower,efficacyBoundary,cumBetaSpent,futilityBoundaryUpper,futilityBoundaryLower,efficacyPValue,futilityPValue,futilityMuBySigma,futilityCP,upperAlpha,lowerAlpha,upperPValue,lowerPValue
TC_22,ITER_01,0,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_01,1,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_01,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_02,0,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.918,N/A,N/A,0.02156,0.0185,N/A,N/A
TC_22,ITER_02,1,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8956,N/A,N/A,0.02222,0.021111,N/A,N/A
TC_22,ITER_04,0,30,uncheck,check,N/A,N/A,N/A,N/A,0.0358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_04,1,55,check,check,N/A,N/A,N/A,N/A,0.0622,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_04,2,65,check,uncheck,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_04,3,80,check,check,N/A,N/A,N/A,N/A,0.088,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_05,0,30,uncheck,check,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.333,N/A,N/A,N/A,N/A
TC_22,ITER_05,1,65,check,check,0.04658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4522,N/A,N/A,N/A,N/A
TC_22,ITER_05,2,85,N/A,check,0.067521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.555,N/A,N/A,N/A,N/A
TC_22,ITER_06,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_06,1,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_07,0,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0011,N/A,0.123,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_07,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0022,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_23,ITER_08,0,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_09,0,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_09,1,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ITER_10,0,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ITER_10,1,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ITER_10,2,88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TC_22,ITER_11,0,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0001,0.0001
TC_22,ITER_11,1,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0002,0.0002
TC_22,ITER_11,2,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0003,0.0003
TC_22,ITER_11,3,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0004,0.0004
TC_22,ITER_11,4,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0005,0.0005
TC_22,ITER_11,5,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0006,0.0006
TC_22,ITER_11,6,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0007,0.0007
TC_22,ITER_11,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0008,0.0008
