ObjectName,Page,SelectorType,SelectorValue,RoleName,FallbackSelector,Dynamic,Description,Exact
txt_Username,LoginPage,role,textbox,Username,,FALSE,Username field (login flow),FALSE
btn_Next,LoginPage,role,button,Next,,FALSE,Next button (login flow),FALSE
txt_Password,LoginPage,role,textbox,Password,,FALSE,Password field (login flow),FALSE
btn_Login,LoginPage,role,button,Sign In,,FALSE,Sign in button (login flow),FALSE
btn_New_Project,ProjectsPage,role,button,New Project,,FALSE,New Project button (login flow landing),FALSE
div_Spinner,ProjectsPage,css,#spinner,,,FALSE,loading overlay (login flow landing),FALSE
txt_Project_Name,ProjectPage,css,#projectName,,,FALSE,textbox from codegen,FALSE
ddl_Time_Unit,ProjectPage,label,Time Unit,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Study_Objective,ProjectPage,label,Study Objective,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_react_creatable_select_input_container,ProjectPage,css,.react-creatable-select__input-container,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Phase,ProjectPage,label,Phase (Optional),,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Target_Population,ProjectPage,css,#populationName-0,,,FALSE,textbox from codegen,FALSE
txt_Control_Arm,ProjectPage,css,#controlArm-0,,,FALSE,textbox from codegen,FALSE
txt_Treatment_Arm,ProjectPage,css,#treatmentArm-0,,,FALSE,textbox from codegen,FALSE
obj_Priority,ProjectPage,label,Priority,,,FALSE,clicked but not filled during recording - VERIFY selector (set a real id if this is a computed/greyed field),FALSE
txt_Endpoint_Name,ProjectPage,css,#endpointName-0,,,FALSE,textbox from codegen,FALSE
ddl_Endpoint_Type,ProjectPage,role,button,Time to Event,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
ddl_Better_Response,ProjectPage,role,button,Larger Value,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
txt_Follow_up_Time_Week,ProjectPage,css,#followUpTime-0,,,FALSE,textbox from codegen,FALSE
btn_Create_Project,ProjectPage,role,button,Create Project,,FALSE,button from codegen,FALSE
btn_Inputs,ProjectPage,role,button,Inputs,,FALSE,button from codegen,FALSE
btn_New_Input_Set,InputSetPage,role,button,New Input Set,,FALSE,button from codegen,FALSE
txt_collection_Name,InputSetPage,css,#collectionName,,,FALSE,textbox from codegen,FALSE
btn_Select_Task,InputSetPage,role,button,Design Compute or simulate a,,FALSE,button from codegen,FALSE
ddl_Select_Test,InputSetPage,label,Select Test,,,FALSE,dropdown (opener+option collapsed into one select step),FALSE
btn_Continue,InputSetPage,role,button,Continue,,FALSE,button from codegen,FALSE
ddl_Hypothesis,DesignPage,css,#hypothesis,,,FALSE,native <select> from codegen,FALSE
txt_Allocation_Ratio_nt_nc,DesignPage,css,#allocationRatio,,,FALSE,textbox from codegen,FALSE
opt_Computed_Parameter,DesignPage,role,radio,{0},,TRUE,choice from codegen (substring - recorded name may be truncated; set Exact=TRUE if it matches the wrong option),FALSE
radio_Power,ResultsPage,role,radio,Power,,FALSE,radio button from codegen,FALSE
radio_Type_1_Error,ResultsPage,role,radio,Type 1 Error (α),,FALSE,radio button from codegen,FALSE
txt_Sample_Size_n,ResultsPage,css,#sampleSize,,,FALSE,textbox from codegen,FALSE
txt_Power,ResultsPage,css,#power,,,FALSE,textbox from codegen,FALSE
ddl_Test_Type,ResultsPage,css,#testtype,,,FALSE,native <select> from codegen,FALSE
txt_Type_1_Error,ResultsPage,css,#type1Error,,,FALSE,textbox from codegen,FALSE
ddl_testtype,ResultsPage,css,#testtype,,,FALSE,native <select> from codegen,FALSE
txt_Upper_Type_1_Error,ResultsPage,css,#upperType1Error,,,FALSE,textbox from codegen,FALSE
txt_Lower_Type_1_Error,ResultsPage,css,#lowerType1Error,,,FALSE,textbox from codegen,FALSE
txt_Proportion_under_Control_c,ResultsPage,css,#proportionUnderControl_SP,,,FALSE,textbox from codegen,FALSE
txt_Difference_in_Proportions_1,ResultsPage,css,#differenceInProportions_SP,,,FALSE,textbox from codegen,FALSE
txt_Super_Superiority_Margin_0,ResultsPage,css,#superSuperiorityMargin,,,FALSE,textbox from codegen,FALSE
txt_Noninferiority_Margin_0,ResultsPage,css,#nonInferiorityMargin,,,FALSE,textbox from codegen,FALSE
chk_include_Exact_Computation,ResultsPage,testid,includeExactComputation,,,FALSE,checkbox from codegen,FALSE
txt_Follow_up_Time_Week,ResultsPage,css,#followUpTime,,,FALSE,textbox from codegen,FALSE
txt_Probability_of_Dropout,ResultsPage,css,#probabilityOfDropout,,,FALSE,textbox from codegen,FALSE
ddl_Variance,ResultsPage,css,#variance,,,FALSE,native <select> from codegen,FALSE
chk_use_CPSCorrection,ResultsPage,testid,useCPSCorrection,,,FALSE,checkbox from codegen,FALSE
chk_include_Assurance,ResultsPage,testid,includeAssurance,,,FALSE,checkbox from codegen,FALSE
ddl_Prior_Distribution_For,ResultsPage,css,#priorDistributionFor,,,FALSE,native <select> from codegen,FALSE
ddl_Distribution,ResultsPage,css,#distributionMethod,,,FALSE,native <select> from codegen,FALSE
txt_Min_t,ResultsPage,css,"input[name=""minPiT""]",,,FALSE,textbox from codegen,FALSE
txt_Max_t,ResultsPage,css,"input[name=""maxPiT""]",,,FALSE,textbox from codegen,FALSE
ddl_distribution_Method,ResultsPage,css,#distributionMethod,,,FALSE,native <select> from codegen,FALSE
ddl_Input_Method,ResultsPage,css,#assuranceInputMethod,,,FALSE,native <select> from codegen,FALSE
ddl_select_name_perc_Pi_T1st_Operator,ResultsPage,css,"select[name=""percPiT1stOperator""]",,,FALSE,native <select> from codegen,FALSE
txt_input_name_perc_Pi_T1st_Percentile_Val,ResultsPage,css,"input[name=""percPiT1stPercentileVal""]",,,FALSE,textbox from codegen,FALSE
txt_input_name_perc_Pi_T1st_Percentile_Prob,ResultsPage,css,"input[name=""percPiT1stPercentileProb""]",,,FALSE,textbox from codegen,FALSE
ddl_select_name_perc_Pi_T2nd_Operator,ResultsPage,css,"select[name=""percPiT2ndOperator""]",,,FALSE,native <select> from codegen,FALSE
txt_input_name_perc_Pi_T2nd_Percentile_Val,ResultsPage,css,"input[name=""percPiT2ndPercentileVal""]",,,FALSE,textbox from codegen,FALSE
txt_input_name_perc_Pi_T2nd_Percentile_Prob,ResultsPage,css,"input[name=""percPiT2ndPercentileProb""]",,,FALSE,textbox from codegen,FALSE
ddl_assurance_Input_Method,ResultsPage,css,#assuranceInputMethod,,,FALSE,native <select> from codegen,FALSE
txt_pi_t_a,ResultsPage,css,#pi_t_a,,,FALSE,textbox from codegen,FALSE
