Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,DynamicArgs
1,10,Simulate,DesignPage,click,btn_Simulate,,,,,,10000,FALSE,0,never,,click Simulate,
2,20,ConfigureDesign,Page,fill,txt_ResultName,DOP_Sim_${iterationId},,,,,10000,FALSE,0,never,,fill Result Name,
3,30,ConfigureDesign,Page,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit-alert-primary,
4,40,ConfigureDesign,Page,click,txt_left_Panel_designs,,,,,,10000,FALSE,0,never,,click leftPanel.designs,
5,50,ConfigureDesign,Page,callCustom,,loadResponseTabIntoModel,,,,,30000,FALSE,0,never,,"S2: mount the Response tab into the model before Recalculate (prevents ""prior too extreme"")",
6,60,ConfigureDesign,Page,fill,txt_Sample_Size_n,${data.simulation.sampleSize},,,,,10000,FALSE,0,never,,fill Sample Size,
7,70,ConfigureDesign,Page,select,ddl_Randomization_Method,${data.simulation.randomizationMethodSelect},,,,,10000,FALSE,0,always,,Select Randomization Method. Native <select> - select matches by visible label first,
8,80,ConfigureDesign,Page,fill,txt_Allocation_Ratio_nt_nc,${data.simulation.allocationRatio},,,,,10000,FALSE,0,never,,fill Allocation Ratio,
9,90,ConfigureDesign,Page,fill,txt_Critical_Point,${data.simulation.criticalPoint},,,,,10000,FALSE,0,never,,fill Critical Point,
10,100,ConfigureDesign,Page,fill,txt_Noninferiority_Margin_0,${data.simulation.nonInferiorityMargin},,,,,10000,FALSE,0,never,,fill Noninferiority Margin,
11,110,ConfigureDesign,Page,fill,txt_Super_Superiority_Margin_0,${data.simulation.superSuperiorityMargin},,,,,10000,FALSE,0,never,,fill Super Superiority Margin,
12,120,ConfigureDesign,Page,fill,txt_upper_Critical_Point,${data.simulation.upperCriticalPoint},,,,,10000,FALSE,0,never,,fill upperCriticalPoint,
13,130,ConfigureDesign,Page,fill,txt_boundary_Sim_0_analysis_Spacing_Info,${data.simulation.boundarySim.0.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill boundarySim.0.analysisSpacingInfo,
14,140,ConfigureDesign,Page,fill,txt_boundary_Sim_1_analysis_Spacing_Info,${data.simulation.boundarySim.1.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill boundarySim.1.analysisSpacingInfo,
15,150,ConfigureDesign,Page,fill,txt_boundary_Sim_2_analysis_Spacing_Info,${data.simulation.boundarySim.2.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill boundarySim.2.analysisSpacingInfo,
16,160,ConfigureDesign,Page,fill,txt_boundary_Sim_0_cum_Alpha_Spent,${data.simulation.boundarySim.0.cumAlphaSpent},,,,,10000,FALSE,0,never,,fill boundarySim.0.cumAlphaSpent,
17,170,ConfigureDesign,Page,fill,txt_boundary_Sim_1_efficacy_PValue,${data.simulation.boundarySim.1.efficacyPValue},,,,,10000,FALSE,0,never,,fill boundarySim.1.efficacyPValue,
18,180,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_CP,${data.simulation.boundarySim.0.futilityCP},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityCP,
19,190,ConfigureDesign,Page,fill,txt_boundary_Sim_0_efficacy_ZUpper,${data.simulation.boundarySim.0.efficacyZUpper},,,,,10000,FALSE,0,never,,fill boundarySim.0.efficacyZUpper,
20,200,ConfigureDesign,Page,fill,txt_boundary_Sim_0_efficacy_ZLower,${data.simulation.boundarySim.0.efficacyZLower},,,,,10000,FALSE,0,never,,fill boundarySim.0.efficacyZLower,
21,210,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_ZUpper,${data.simulation.boundarySim.0.futilityZUpper},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityZUpper,
22,220,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_ZLower,${data.simulation.boundarySim.0.futilityZLower},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityZLower,
23,230,ConfigureDesign,Page,fill,txt_boundary_Sim_0_cum_Alpha_Spent_Upper,${data.simulation.boundarySim.0.cumAlphaSpentUpper},,,,,10000,FALSE,0,never,,fill boundarySim.0.cumAlphaSpentUpper,
24,240,ConfigureDesign,Page,fill,txt_boundary_Sim_0_cum_Alpha_Spent_Lower,${data.simulation.boundarySim.0.cumAlphaSpentLower},,,,,10000,FALSE,0,never,,fill boundarySim.0.cumAlphaSpentLower,
25,250,ConfigureDesign,Page,fill,txt_boundary_Sim_1_cum_Alpha_Spent,${data.simulation.boundarySim.1.cumAlphaSpent},,,,,10000,FALSE,0,never,,fill boundarySim.1.cumAlphaSpent,
26,260,ConfigureDesign,Page,fill,txt_boundary_Sim_1_efficacy_Z,${data.simulation.boundarySim.1.efficacyZ},,,,,10000,FALSE,0,never,,fill boundarySim.1.efficacyZ,
27,270,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_Z,${data.simulation.boundarySim.0.futilityZ},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityZ,
28,280,ConfigureDesign,Page,fill,txt_boundary_Sim_0_futility_PValue,${data.simulation.boundarySim.0.futilityPValue},,,,,10000,FALSE,0,never,,fill boundarySim.0.futilityPValue,
29,290,ConfigureDesign,Page,fill,txt_boundary_Sim_0_efficacy_Z,${data.simulation.boundarySim.0.efficacyZ},,,,,10000,FALSE,0,never,,fill boundarySim.0.efficacyZ,
30,300,ConfigureDesign,Page,fill,txt_boundary_Sim_1_efficacy_ZUpper,${data.simulation.boundarySim.1.efficacyZUpper},,,,,10000,FALSE,0,never,,fill boundarySim.1.efficacyZUpper,
31,310,ConfigureDesign,Page,fill,txt_boundary_Sim_1_futility_ZUpper,${data.simulation.boundarySim.1.futilityZUpper},,,,,10000,FALSE,0,never,,fill boundarySim.1.futilityZUpper,
32,320,ConfigureDesign,Page,fill,txt_boundary_Sim_1_cum_Alpha_Spent_Upper,${data.simulation.boundarySim.1.cumAlphaSpentUpper},,,,,10000,FALSE,0,never,,fill boundarySim.1.cumAlphaSpentUpper,
