TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Critical Points,Critical Point,Parameter,Critical Point,20260722T000905_ca7551,
Critical Points,Critical Point,Value,1.812,20260722T000905_ca7551,
Design Summary #1,Power,Parameter,Power,20260722T000905_ca7551,
Design Summary #1,Power,Value,0.884,20260722T000905_ca7551,
Design Summary #1,Test Name,Parameter,Test Name,20260722T000905_ca7551,
Design Summary #1,Test Name,Value,Single Poisson Rate (One Arm Design),20260722T000905_ca7551,
Design Summary #1,Test Type,Parameter,Test Type,20260722T000905_ca7551,
Design Summary #1,Test Type,Value,1-Sided,20260722T000905_ca7551,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260722T000905_ca7551,
Design Summary #1,Type 1 Error (α),Value,0.035,20260722T000905_ca7551,
Design Summary #2,Follow-Up Time (D) (Day),Parameter,Follow-Up Time (D) (Day),20260722T000905_ca7551,
Design Summary #2,Follow-Up Time (D) (Day),Value,3.8,20260722T000905_ca7551,
Design Summary #2,Rate under Alternative (λ1),Parameter,Rate under Alternative (λ1),20260722T000905_ca7551,
Design Summary #2,Rate under Alternative (λ1),Value,0.321,20260722T000905_ca7551,
Design Summary #2,Rate under Null (λ0),Parameter,Rate under Null (λ0),20260722T000905_ca7551,
Design Summary #2,Rate under Null (λ0),Value,0.152,20260722T000905_ca7551,
Plan #1,Phase,Parameter,Phase,20260722T000905_ca7551,
Plan #1,Phase,Value,2,20260722T000905_ca7551,
Plan #1,Study Objective,Parameter,Study Objective,20260722T000905_ca7551,
Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260722T000905_ca7551,
Plan #1,Target Population,Parameter,Target Population,20260722T000905_ca7551,
Plan #1,Target Population,Value,Adult,20260722T000905_ca7551,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260722T000905_ca7551,
Plan #1,Treatment Arm,Value,EXP,20260722T000905_ca7551,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260722T000905_ca7551,
Plan #2,Endpoint Name,Value,ep1,20260722T000905_ca7551,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260722T000905_ca7551,
Plan #2,Endpoint Type,Value,Count,20260722T000905_ca7551,
Plan #2,Priority,Parameter,Priority,20260722T000905_ca7551,
Plan #2,Priority,Value,Primary,20260722T000905_ca7551,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260722T000905_ca7551,
Sample Size Information,Sample Size (n),Value,19,20260722T000905_ca7551,
Summary,Narrative,Text,"A total sample size of 19 is required in a study to achieve 0.88 power at 0.035 level of significance when average response rates under null and alternative are 0.152 and 0.321 respectively. Here, the subjects are followed up to 3.8 Days.",20260722T000905_ca7551,
