TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Critical Points,Lower Critical Point,Parameter,Lower Critical Point,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Critical Points,Lower Critical Point,Value,-1.919,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Critical Points,Upper Critical Point,Parameter,Upper Critical Point,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Critical Points,Upper Critical Point,Value,1.919,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,Model,name,Model,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,Model,Parameter,Follow-Up Time (D) (Day),20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,Model,Value,5.5,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,row_1,name,,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,row_1,Parameter,Rate under Alternative (λ1),20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,row_1,Value,0.225,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,row_3,name,,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,row_3,Parameter,Follow-Up Time (D) (Day),20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,row_3,Value,5.5,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,Test,name,Test,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,Test,Parameter,Rate under Null (λ0),20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #1,Test,Value,0.123,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Power,Parameter,Power,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Power,Value,1,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Test Name,Parameter,Test Name,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Test Name,Value,Single Poisson Rate (One Arm Design),20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Test Type,Parameter,Test Type,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Test Type,Value,2-Sided,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Type 1 Error (α),Parameter,Type 1 Error (α),20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
Design Summary #2,Type 1 Error (α),Value,0.055,20260721T114249_a7d579,2026-07-21T11:42:49.898+05:30,
