TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260804T140021_8e5ed0,,
Design Summary #1,Hypothesis,Value,Superiority,20260804T140021_8e5ed0,,
Design Summary #1,Power,Parameter,Power,20260804T140021_8e5ed0,,
Design Summary #1,Power,Value,0.593,20260804T140021_8e5ed0,,
Design Summary #1,Test Type,Parameter,Test Type,20260804T140021_8e5ed0,,
Design Summary #1,Test Type,Value,1-Sided,20260804T140021_8e5ed0,,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260804T140021_8e5ed0,,
Design Summary #1,Type 1 Error (α),Value,0.0546,20260804T140021_8e5ed0,,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260804T140021_8e5ed0,,
Design Summary #2,Allocation Ratio (nt/nc),Value,0.9,20260804T140021_8e5ed0,,
Design Summary #2,Probability of Tie (Ptie),Parameter,Probability of Tie (Ptie),20260804T140021_8e5ed0,,
Design Summary #2,Probability of Tie (Ptie),Value,0.1,20260804T140021_8e5ed0,,
Design Summary #2,Win Ratio (WR),Parameter,Win Ratio (WR),20260804T140021_8e5ed0,,
Design Summary #2,Win Ratio (WR),Value,1.6,20260804T140021_8e5ed0,,
Plan #1,Control Arm,Parameter,Control Arm,20260804T140021_8e5ed0,,
Plan #1,Control Arm,Value,Control,20260804T140021_8e5ed0,,
Plan #1,Phase,Parameter,Phase,20260804T140021_8e5ed0,,
Plan #1,Phase,Value,3,20260804T140021_8e5ed0,,
Plan #1,Study Objective,Parameter,Study Objective,20260804T140021_8e5ed0,,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260804T140021_8e5ed0,,
Plan #1,Target Population,Parameter,Target Population,20260804T140021_8e5ed0,,
Plan #1,Target Population,Value,Adult,20260804T140021_8e5ed0,,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260804T140021_8e5ed0,,
Plan #1,Treatment Arm,Value,EXP,20260804T140021_8e5ed0,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260804T140021_8e5ed0,,
Plan #2,Endpoint Name,Value,EPT,20260804T140021_8e5ed0,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260804T140021_8e5ed0,,
Plan #2,Endpoint Type,Value,Composite,20260804T140021_8e5ed0,,
Plan #2,Priority,Parameter,Priority,20260804T140021_8e5ed0,,
Plan #2,Priority,Value,Primary,20260804T140021_8e5ed0,,
Probabilities,Probability of Loss (Ploss),Parameter,Probability of Loss (Ploss),20260804T140021_8e5ed0,,
Probabilities,Probability of Loss (Ploss),Value,0.346,20260804T140021_8e5ed0,,
Probabilities,Probability of Win (Pwin),Parameter,Probability of Win (Pwin),20260804T140021_8e5ed0,,
Probabilities,Probability of Win (Pwin),Value,0.554,20260804T140021_8e5ed0,,
Sample Size Information,Control (nc),Parameter,Control (nc),20260804T140021_8e5ed0,,
Sample Size Information,Control (nc),Value,53,20260804T140021_8e5ed0,,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260804T140021_8e5ed0,,
Sample Size Information,Sample Size (n),Value,100,20260804T140021_8e5ed0,,
Sample Size Information,Treatment (nt),Parameter,Treatment (nt),20260804T140021_8e5ed0,,
Sample Size Information,Treatment (nt),Value,47,20260804T140021_8e5ed0,,
