TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Dose-wise Summary,Dose 1,Dose,Dose 1,20260807T132711_2497eb,,
Dose-wise Summary,Dose 1,Dose Level (L),5,20260807T132711_2497eb,,
Dose-wise Summary,Dose 1,Mean,8.36,20260807T132711_2497eb,,
Dose-wise Summary,Dose 1,Mean,0.58,20260807T132711_2497eb,,
Dose-wise Summary,Dose 1,Selection Probability (%),70,20260807T132711_2497eb,,
Dose-wise Summary,Dose 1,Standard Deviation,6.648,20260807T132711_2497eb,,
Dose-wise Summary,Dose 1,Standard Deviation,0.851,20260807T132711_2497eb,,
Dose-wise Summary,Dose 1,True Probability of Toxicity,0.07,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,Dose,Dose 2,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,Dose Level (L),6,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,Mean,8.44,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,Mean,3.95,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,Selection Probability (%),21,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,Standard Deviation,6.246,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,Standard Deviation,2.282,20260807T132711_2497eb,,
Dose-wise Summary,Dose 2,True Probability of Toxicity,0.48,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,Dose,Dose 3,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,Dose Level (L),7,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,Mean,6.74,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,Mean,3.65,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,Selection Probability (%),6,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,Standard Deviation,5.296,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,Standard Deviation,1.813,20260807T132711_2497eb,,
Dose-wise Summary,Dose 3,True Probability of Toxicity,0.55,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,Dose,Dose 4,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,Dose Level (L),8,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,Mean,5.06,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,Mean,3.13,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,Selection Probability (%),1,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,Standard Deviation,3.399,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,Standard Deviation,1.222,20260807T132711_2497eb,,
Dose-wise Summary,Dose 4,True Probability of Toxicity,0.61,20260807T132711_2497eb,,
MTD Summary,5,Mean,0.289,20260807T132711_2497eb,,
MTD Summary,5,Mean,0.711,20260807T132711_2497eb,,
MTD Summary,5,Mean Squared Error,0.053,20260807T132711_2497eb,,
MTD Summary,5,Probability of No Selection (%),2,20260807T132711_2497eb,,
MTD Summary,5,Probability of Selected Dose Over MTD (%),28,20260807T132711_2497eb,,
MTD Summary,5,Probability of Selecting MTD (%),70,20260807T132711_2497eb,,
MTD Summary,5,Standard Deviation,0.236,20260807T132711_2497eb,,
MTD Summary,5,Standard Deviation,0.236,20260807T132711_2497eb,,
MTD Summary,5,True MTD,5,20260807T132711_2497eb,,
Plan #1,Dose Unit,Parameter,Dose Unit,20260807T132711_2497eb,,
Plan #1,Dose Unit,Value,L,20260807T132711_2497eb,,
Plan #1,Phase,Parameter,Phase,20260807T132711_2497eb,,
Plan #1,Phase,Value,1,20260807T132711_2497eb,,
Plan #1,Study Objective,Parameter,Study Objective,20260807T132711_2497eb,,
Plan #1,Study Objective,Value,Dose Escalation,20260807T132711_2497eb,,
Plan #1,Target Population,Parameter,Target Population,20260807T132711_2497eb,,
Plan #1,Target Population,Value,Adult,20260807T132711_2497eb,,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260807T132711_2497eb,,
Plan #2,Endpoint Name,Value,EP1,20260807T132711_2497eb,,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260807T132711_2497eb,,
Plan #2,Endpoint Type,Value,Binary,20260807T132711_2497eb,,
Plan #3,Dose 1,Parameter,Dose 1,20260807T132711_2497eb,,
Plan #3,Dose 1,Value,5,20260807T132711_2497eb,,
Plan #3,Dose 2,Parameter,Dose 2,20260807T132711_2497eb,,
Plan #3,Dose 2,Value,6,20260807T132711_2497eb,,
